"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2388","Test for Edit fields: enter data, confirm and check result","","Fri Feb 20 23:13:01 UTC 2026","passed","Fri Feb 20 23:13:04 UTC 2026","","tests.ElementsTextBoxTest","tests.ElementsTextBoxTest","testTextBox"
"","2379","Test for Modal Dialogs: check new window message","","Fri Feb 20 23:13:25 UTC 2026","passed","Fri Feb 20 23:13:27 UTC 2026","","tests.AlertsFrameWindowsBrowserWindowsTest","tests.AlertsFrameWindowsBrowserWindowsTest","TestNewWindowMessage"
"","2623","Test for Frames: check text in a frame","","Fri Feb 20 23:13:22 UTC 2026","passed","Fri Feb 20 23:13:24 UTC 2026","","tests.AlertsFrameWindowsFramesTest","tests.AlertsFrameWindowsFramesTest","TestFrames"
"","7389","Test for Alerts: check timer alert","","Fri Feb 20 23:13:11 UTC 2026","passed","Fri Feb 20 23:13:19 UTC 2026","","tests.AlertsFrameWindowsAlertsTest","tests.AlertsFrameWindowsAlertsTest","clickTimerAlertButton"
"","5620","Test for Interactions: performing drag and drop action using mouse, verify success drop","","Fri Feb 20 23:13:18 UTC 2026","passed","Fri Feb 20 23:13:24 UTC 2026","","tests.InteractionsDroppableTest","tests.InteractionsDroppableTest","testDragAndDropUsingMouse"
"","2513","Test for Modal Dialogs: check new window","","Fri Feb 20 23:13:30 UTC 2026","passed","Fri Feb 20 23:13:32 UTC 2026","","tests.AlertsFrameWindowsBrowserWindowsTest","tests.AlertsFrameWindowsBrowserWindowsTest","TestNewWindow"
"","1936","Test for Menu: hover on menu, hover on invisible menu and click on it","","Fri Feb 20 23:13:15 UTC 2026","passed","Fri Feb 20 23:13:16 UTC 2026","","tests.WidgetsMenuTest","tests.WidgetsMenuTest","hoverOnMenuAndCheckTest"
"","2179","Test for check box: select, expand and collapse all","","Fri Feb 20 23:13:04 UTC 2026","passed","Fri Feb 20 23:13:07 UTC 2026","","tests.ElementsCheckBoxTest","tests.ElementsCheckBoxTest","TestCheckBox"
"","7781","Test for Interactions: resize box and check size after the action","","Fri Feb 20 23:13:02 UTC 2026","failed","Fri Feb 20 23:13:10 UTC 2026","","tests.InteractionsResizableTest","tests.InteractionsResizableTest","resizableTest"
"","7648","Test for Interactions: performing drag and drop action, verify success drop","","Fri Feb 20 23:13:11 UTC 2026","failed","Fri Feb 20 23:13:18 UTC 2026","","tests.InteractionsDroppableTest","tests.InteractionsDroppableTest","testDragAndDrop"
"","1971","Test for Auto Complete: enter part of color name, wait for dropdown, then select required color and check that right colors are selected","","Fri Feb 20 23:13:12 UTC 2026","passed","Fri Feb 20 23:13:14 UTC 2026","","tests.WidgetsAutoCompleteTest","tests.WidgetsAutoCompleteTest","typeAndSelectMultipleColorTest"
"","2584","Test for Alerts: check prompt alert, enter text and check result","","Fri Feb 20 23:13:09 UTC 2026","passed","Fri Feb 20 23:13:11 UTC 2026","","tests.AlertsFrameWindowsAlertsTest","tests.AlertsFrameWindowsAlertsTest","clickPromptAlertButton"
"","2000","Test for Radio buttons: select, verify and check that not enabled","","Fri Feb 20 23:13:07 UTC 2026","passed","Fri Feb 20 23:13:09 UTC 2026","","tests.ElementsRadioButtonsTest","tests.ElementsRadioButtonsTest","TestRadioButton"
"","2396","Test for Modal Dialogs: check new tab","","Fri Feb 20 23:13:27 UTC 2026","passed","Fri Feb 20 23:13:30 UTC 2026","","tests.AlertsFrameWindowsBrowserWindowsTest","tests.AlertsFrameWindowsBrowserWindowsTest","TestModalDialogs"
"","3254","Test for Slider: set value - move the slider with arrows and check set value","","Fri Feb 20 23:13:08 UTC 2026","passed","Fri Feb 20 23:13:12 UTC 2026","","tests.WidgetsSliderTest","tests.WidgetsSliderTest","moveSliderAndCheckValueTest"
"","2627","Test for Alerts: check simple alert","","Fri Feb 20 23:13:19 UTC 2026","passed","Fri Feb 20 23:13:21 UTC 2026","","tests.AlertsFrameWindowsAlertsTest","tests.AlertsFrameWindowsAlertsTest","clickButtonToSeeAlert"
