"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2094","Test for Menu: hover on menu, hover on invisible menu and click on it","","Fri Feb 27 09:09:31 UTC 2026","passed","Fri Feb 27 09:09:33 UTC 2026","","tests.WidgetsMenuTest","tests.WidgetsMenuTest","hoverOnMenuAndCheckTest"
"","1935","Test for Modal Dialogs: check new window","","Fri Feb 27 09:09:48 UTC 2026","passed","Fri Feb 27 09:09:50 UTC 2026","","tests.AlertsFrameWindowsBrowserWindowsTest","tests.AlertsFrameWindowsBrowserWindowsTest","TestNewWindow"
"","2329","Test for Edit fields: enter data, confirm and check result","","Fri Feb 27 09:09:35 UTC 2026","passed","Fri Feb 27 09:09:37 UTC 2026","","tests.ElementsTextBoxTest","tests.ElementsTextBoxTest","testTextBox"
"","2007","Test for Modal Dialogs: check new window message","","Fri Feb 27 09:09:44 UTC 2026","passed","Fri Feb 27 09:09:46 UTC 2026","","tests.AlertsFrameWindowsBrowserWindowsTest","tests.AlertsFrameWindowsBrowserWindowsTest","TestNewWindowMessage"
"","1948","Test for Radio buttons: select, verify and check that not enabled","","Fri Feb 27 09:09:32 UTC 2026","passed","Fri Feb 27 09:09:34 UTC 2026","","tests.ElementsRadioButtonsTest","tests.ElementsRadioButtonsTest","TestRadioButton"
"","2318","Test for check box: select, expand and collapse all","","Fri Feb 27 09:09:30 UTC 2026","passed","Fri Feb 27 09:09:32 UTC 2026","","tests.ElementsCheckBoxTest","tests.ElementsCheckBoxTest","TestCheckBox"
"","1981","Test for Modal Dialogs: check new tab","","Fri Feb 27 09:09:46 UTC 2026","passed","Fri Feb 27 09:09:48 UTC 2026","","tests.AlertsFrameWindowsBrowserWindowsTest","tests.AlertsFrameWindowsBrowserWindowsTest","TestModalDialogs"
"","1889","Test for Alerts: check simple alert","","Fri Feb 27 09:09:42 UTC 2026","passed","Fri Feb 27 09:09:44 UTC 2026","","tests.AlertsFrameWindowsAlertsTest","tests.AlertsFrameWindowsAlertsTest","clickButtonToSeeAlert"
"","2407","Test for Alerts: check prompt alert, enter text and check result","","Fri Feb 27 09:09:32 UTC 2026","passed","Fri Feb 27 09:09:35 UTC 2026","","tests.AlertsFrameWindowsAlertsTest","tests.AlertsFrameWindowsAlertsTest","clickPromptAlertButton"
"","2053","Test for Frames: check text in a frame","","Fri Feb 27 09:09:50 UTC 2026","passed","Fri Feb 27 09:09:52 UTC 2026","","tests.AlertsFrameWindowsFramesTest","tests.AlertsFrameWindowsFramesTest","TestFrames"
"","4588","Test for Interactions: performing drag and drop action, verify success drop","","Fri Feb 27 09:09:31 UTC 2026","passed","Fri Feb 27 09:09:36 UTC 2026","","tests.InteractionsDroppableTest","tests.InteractionsDroppableTest","testDragAndDrop"
"","3053","Test for Slider: set value - move the slider with arrows and check set value","","Fri Feb 27 09:09:37 UTC 2026","passed","Fri Feb 27 09:09:40 UTC 2026","","tests.WidgetsSliderTest","tests.WidgetsSliderTest","moveSliderAndCheckValueTest"
"","7061","Test for Alerts: check timer alert","","Fri Feb 27 09:09:35 UTC 2026","passed","Fri Feb 27 09:09:42 UTC 2026","","tests.AlertsFrameWindowsAlertsTest","tests.AlertsFrameWindowsAlertsTest","clickTimerAlertButton"
"","1927","Test for Interactions: resize box and check size after the action","","Fri Feb 27 09:09:29 UTC 2026","passed","Fri Feb 27 09:09:31 UTC 2026","","tests.InteractionsResizableTest","tests.InteractionsResizableTest","resizableTest"
"","4581","Test for Interactions: performing drag and drop action using mouse, verify success drop","","Fri Feb 27 09:09:36 UTC 2026","passed","Fri Feb 27 09:09:40 UTC 2026","","tests.InteractionsDroppableTest","tests.InteractionsDroppableTest","testDragAndDropUsingMouse"
"","1986","Test for Auto Complete: enter part of color name, wait for dropdown, then select required color and check that right colors are selected","","Fri Feb 27 09:09:34 UTC 2026","passed","Fri Feb 27 09:09:36 UTC 2026","","tests.WidgetsAutoCompleteTest","tests.WidgetsAutoCompleteTest","typeAndSelectMultipleColorTest"
