"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2798","Test for Interactions: resize box and check size after the action","","Fri Feb 27 08:53:56 UTC 2026","passed","Fri Feb 27 08:53:59 UTC 2026","","tests.InteractionsResizableTest","tests.InteractionsResizableTest","resizableTest"
"","1658","Test for Alerts: check simple alert","","Fri Feb 27 08:54:05 UTC 2026","passed","Fri Feb 27 08:54:07 UTC 2026","","tests.AlertsFrameWindowsAlertsTest","tests.AlertsFrameWindowsAlertsTest","clickButtonToSeeAlert"
"","1656","Test for Modal Dialogs: check new window message","","Fri Feb 27 08:54:07 UTC 2026","passed","Fri Feb 27 08:54:09 UTC 2026","","tests.AlertsFrameWindowsBrowserWindowsTest","tests.AlertsFrameWindowsBrowserWindowsTest","TestNewWindowMessage"
"","1730","Test for Modal Dialogs: check new window","","Fri Feb 27 08:54:11 UTC 2026","passed","Fri Feb 27 08:54:13 UTC 2026","","tests.AlertsFrameWindowsBrowserWindowsTest","tests.AlertsFrameWindowsBrowserWindowsTest","TestNewWindow"
"","2094","Test for Menu: hover on menu, hover on invisible menu and click on it","","Fri Feb 27 08:53:56 UTC 2026","passed","Fri Feb 27 08:53:58 UTC 2026","","tests.WidgetsMenuTest","tests.WidgetsMenuTest","hoverOnMenuAndCheckTest"
"","6519","Test for Alerts: check timer alert","","Fri Feb 27 08:53:58 UTC 2026","passed","Fri Feb 27 08:54:05 UTC 2026","","tests.AlertsFrameWindowsAlertsTest","tests.AlertsFrameWindowsAlertsTest","clickTimerAlertButton"
"","2072","Test for Auto Complete: enter part of color name, wait for dropdown, then select required color and check that right colors are selected","","Fri Feb 27 08:53:59 UTC 2026","passed","Fri Feb 27 08:54:01 UTC 2026","","tests.WidgetsAutoCompleteTest","tests.WidgetsAutoCompleteTest","typeAndSelectMultipleColorTest"
"","2655","Test for check box: select, expand and collapse all","","Fri Feb 27 08:54:01 UTC 2026","passed","Fri Feb 27 08:54:04 UTC 2026","","tests.ElementsCheckBoxTest","tests.ElementsCheckBoxTest","TestCheckBox"
"","5465","Test for Interactions: performing drag and drop action using mouse, verify success drop","","Fri Feb 27 08:54:05 UTC 2026","passed","Fri Feb 27 08:54:11 UTC 2026","","tests.InteractionsDroppableTest","tests.InteractionsDroppableTest","testDragAndDropUsingMouse"
"","1764","Test for Alerts: check prompt alert, enter text and check result","","Fri Feb 27 08:53:57 UTC 2026","passed","Fri Feb 27 08:53:58 UTC 2026","","tests.AlertsFrameWindowsAlertsTest","tests.AlertsFrameWindowsAlertsTest","clickPromptAlertButton"
"","5532","Test for Interactions: performing drag and drop action, verify success drop","","Fri Feb 27 08:54:00 UTC 2026","passed","Fri Feb 27 08:54:05 UTC 2026","","tests.InteractionsDroppableTest","tests.InteractionsDroppableTest","testDragAndDrop"
"","2439","Test for Radio buttons: select, verify and check that not enabled","","Fri Feb 27 08:54:04 UTC 2026","passed","Fri Feb 27 08:54:07 UTC 2026","","tests.ElementsRadioButtonsTest","tests.ElementsRadioButtonsTest","TestRadioButton"
"","1772","Test for Frames: check text in a frame","","Fri Feb 27 08:54:13 UTC 2026","passed","Fri Feb 27 08:54:15 UTC 2026","","tests.AlertsFrameWindowsFramesTest","tests.AlertsFrameWindowsFramesTest","TestFrames"
"","2745","Test for Edit fields: enter data, confirm and check result","","Fri Feb 27 08:54:07 UTC 2026","passed","Fri Feb 27 08:54:10 UTC 2026","","tests.ElementsTextBoxTest","tests.ElementsTextBoxTest","testTextBox"
"","1992","Test for Modal Dialogs: check new tab","","Fri Feb 27 08:54:09 UTC 2026","passed","Fri Feb 27 08:54:11 UTC 2026","","tests.AlertsFrameWindowsBrowserWindowsTest","tests.AlertsFrameWindowsBrowserWindowsTest","TestModalDialogs"
"","3211","Test for Slider: set value - move the slider with arrows and check set value","","Fri Feb 27 08:54:01 UTC 2026","passed","Fri Feb 27 08:54:04 UTC 2026","","tests.WidgetsSliderTest","tests.WidgetsSliderTest","moveSliderAndCheckValueTest"
