"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1889","Test for Auto Complete: enter part of color name, wait for dropdown, then select required color and check that right colors are selected","","Fri Feb 27 22:38:28 UTC 2026","passed","Fri Feb 27 22:38:30 UTC 2026","","tests.WidgetsAutoCompleteTest","tests.WidgetsAutoCompleteTest","typeAndSelectMultipleColorTest"
"","2514","Test for Alerts: check prompt alert, enter text and check result","","Fri Feb 27 22:39:21 UTC 2026","passed","Fri Feb 27 22:39:24 UTC 2026","","tests.AlertsFrameWindowsAlertsTest","tests.AlertsFrameWindowsAlertsTest","clickPromptAlertButton"
"","2054","Test for Edit fields: enter data, confirm and check result","","Fri Feb 27 22:38:27 UTC 2026","passed","Fri Feb 27 22:38:29 UTC 2026","","tests.ElementsTextBoxTest","tests.ElementsTextBoxTest","testTextBox"
"","2894","Test for Slider: set value - move the slider with arrows and check set value","","Fri Feb 27 22:38:30 UTC 2026","passed","Fri Feb 27 22:38:33 UTC 2026","","tests.WidgetsSliderTest","tests.WidgetsSliderTest","moveSliderAndCheckValueTest"
"","2272","Test for Modal Dialogs: check new tab","","Fri Feb 27 22:39:35 UTC 2026","passed","Fri Feb 27 22:39:38 UTC 2026","","tests.AlertsFrameWindowsBrowserWindowsTest","tests.AlertsFrameWindowsBrowserWindowsTest","TestModalDialogs"
"","7122","Test for Alerts: check timer alert","","Fri Feb 27 22:39:24 UTC 2026","passed","Fri Feb 27 22:39:31 UTC 2026","","tests.AlertsFrameWindowsAlertsTest","tests.AlertsFrameWindowsAlertsTest","clickTimerAlertButton"
"","1916","Test for Modal Dialogs: check new window message","","Fri Feb 27 22:39:33 UTC 2026","passed","Fri Feb 27 22:39:35 UTC 2026","","tests.AlertsFrameWindowsBrowserWindowsTest","tests.AlertsFrameWindowsBrowserWindowsTest","TestNewWindowMessage"
"","4544","Test for Interactions: performing drag and drop action, verify success drop","","Fri Feb 27 22:38:24 UTC 2026","passed","Fri Feb 27 22:38:29 UTC 2026","","tests.InteractionsDroppableTest","tests.InteractionsDroppableTest","testDragAndDrop"
"","2149","Test for Radio buttons: select, verify and check that not enabled","","Fri Feb 27 22:38:25 UTC 2026","passed","Fri Feb 27 22:38:27 UTC 2026","","tests.ElementsRadioButtonsTest","tests.ElementsRadioButtonsTest","TestRadioButton"
"","2206","Test for check box: select, expand and collapse all","","Fri Feb 27 22:38:22 UTC 2026","passed","Fri Feb 27 22:38:24 UTC 2026","","tests.ElementsCheckBoxTest","tests.ElementsCheckBoxTest","TestCheckBox"
"","1800","Test for Interactions: resize box and check size after the action","","Fri Feb 27 22:38:22 UTC 2026","passed","Fri Feb 27 22:38:23 UTC 2026","","tests.InteractionsResizableTest","tests.InteractionsResizableTest","resizableTest"
"","2246","Test for Alerts: check simple alert","","Fri Feb 27 22:39:31 UTC 2026","passed","Fri Feb 27 22:39:33 UTC 2026","","tests.AlertsFrameWindowsAlertsTest","tests.AlertsFrameWindowsAlertsTest","clickButtonToSeeAlert"
"","4547","Test for Interactions: performing drag and drop action using mouse, verify success drop","","Fri Feb 27 22:38:29 UTC 2026","passed","Fri Feb 27 22:38:33 UTC 2026","","tests.InteractionsDroppableTest","tests.InteractionsDroppableTest","testDragAndDropUsingMouse"
"","1863","Test for Menu: hover on menu, hover on invisible menu and click on it","","Fri Feb 27 22:38:25 UTC 2026","passed","Fri Feb 27 22:38:27 UTC 2026","","tests.WidgetsMenuTest","tests.WidgetsMenuTest","hoverOnMenuAndCheckTest"
"","2366","Test for Frames: check text in a frame","","Fri Feb 27 22:39:40 UTC 2026","passed","Fri Feb 27 22:39:43 UTC 2026","","tests.AlertsFrameWindowsFramesTest","tests.AlertsFrameWindowsFramesTest","TestFrames"
"","2081","Test for Modal Dialogs: check new window","","Fri Feb 27 22:39:38 UTC 2026","passed","Fri Feb 27 22:39:40 UTC 2026","","tests.AlertsFrameWindowsBrowserWindowsTest","tests.AlertsFrameWindowsBrowserWindowsTest","TestNewWindow"
