"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7437","Test for Interactions: performing drag and drop action, verify success drop","","Thu Feb 19 22:13:23 UTC 2026","failed","Thu Feb 19 22:13:31 UTC 2026","","tests.InteractionsDroppableTest","tests.InteractionsDroppableTest","testDragAndDrop"
"","3338","Test for Slider: set value - move the slider with arrows and check set value","","Thu Feb 19 22:12:53 UTC 2026","passed","Thu Feb 19 22:12:56 UTC 2026","","tests.WidgetsSliderTest","tests.WidgetsSliderTest","moveSliderAndCheckValueTest"
"","2893","Test for Edit fields: enter data, confirm and check result","","Thu Feb 19 22:13:38 UTC 2026","passed","Thu Feb 19 22:13:41 UTC 2026","","tests.ElementsTextBoxTest","tests.ElementsTextBoxTest","testTextBox"
"","2434","Test for Frames: check text in a frame","","Thu Feb 19 22:13:32 UTC 2026","passed","Thu Feb 19 22:13:34 UTC 2026","","tests.AlertsFrameWindowsFramesTest","tests.AlertsFrameWindowsFramesTest","TestFrames"
"","2232","Test for Alerts: check simple alert","","Thu Feb 19 22:13:21 UTC 2026","passed","Thu Feb 19 22:13:24 UTC 2026","","tests.AlertsFrameWindowsAlertsTest","tests.AlertsFrameWindowsAlertsTest","clickButtonToSeeAlert"
"","7476","Test for Interactions: performing drag and drop action using mouse, verify success drop","","Thu Feb 19 22:13:31 UTC 2026","failed","Thu Feb 19 22:13:38 UTC 2026","","tests.InteractionsDroppableTest","tests.InteractionsDroppableTest","testDragAndDropUsingMouse"
"","2557","Test for Modal Dialogs: check new tab","","Thu Feb 19 22:13:27 UTC 2026","passed","Thu Feb 19 22:13:29 UTC 2026","","tests.AlertsFrameWindowsBrowserWindowsTest","tests.AlertsFrameWindowsBrowserWindowsTest","TestModalDialogs"
"","2574","Test for Alerts: check prompt alert, enter text and check result","","Thu Feb 19 22:13:11 UTC 2026","passed","Thu Feb 19 22:13:14 UTC 2026","","tests.AlertsFrameWindowsAlertsTest","tests.AlertsFrameWindowsAlertsTest","clickPromptAlertButton"
"","7373","Test for Alerts: check timer alert","","Thu Feb 19 22:13:14 UTC 2026","passed","Thu Feb 19 22:13:21 UTC 2026","","tests.AlertsFrameWindowsAlertsTest","tests.AlertsFrameWindowsAlertsTest","clickTimerAlertButton"
"","32291","Test for check box: select, expand and collapse all","","Thu Feb 19 22:13:41 UTC 2026","broken","Thu Feb 19 22:14:14 UTC 2026","","tests.ElementsCheckBoxTest","tests.ElementsCheckBoxTest","TestCheckBox"
"","2337","Test for Modal Dialogs: check new window","","Thu Feb 19 22:13:29 UTC 2026","passed","Thu Feb 19 22:13:32 UTC 2026","","tests.AlertsFrameWindowsBrowserWindowsTest","tests.AlertsFrameWindowsBrowserWindowsTest","TestNewWindow"
"","1958","Test for Auto Complete: enter part of color name, wait for dropdown, then select required color and check that right colors are selected","","Thu Feb 19 22:12:57 UTC 2026","passed","Thu Feb 19 22:12:59 UTC 2026","","tests.WidgetsAutoCompleteTest","tests.WidgetsAutoCompleteTest","typeAndSelectMultipleColorTest"
"","2461","Test for Modal Dialogs: check new window message","","Thu Feb 19 22:13:24 UTC 2026","passed","Thu Feb 19 22:13:27 UTC 2026","","tests.AlertsFrameWindowsBrowserWindowsTest","tests.AlertsFrameWindowsBrowserWindowsTest","TestNewWindowMessage"
"","7628","Test for Interactions: resize box and check size after the action","","Thu Feb 19 22:13:15 UTC 2026","failed","Thu Feb 19 22:13:23 UTC 2026","","tests.InteractionsResizableTest","tests.InteractionsResizableTest","resizableTest"
"","2612","Test for Radio buttons: select, verify and check that not enabled","","Thu Feb 19 22:14:14 UTC 2026","passed","Thu Feb 19 22:14:17 UTC 2026","","tests.ElementsRadioButtonsTest","tests.ElementsRadioButtonsTest","TestRadioButton"
"","1891","Test for Menu: hover on menu, hover on invisible menu and click on it","","Thu Feb 19 22:12:59 UTC 2026","passed","Thu Feb 19 22:13:01 UTC 2026","","tests.WidgetsMenuTest","tests.WidgetsMenuTest","hoverOnMenuAndCheckTest"
