"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3259","Test for Slider: set value - move the slider with arrows and check set value","","Sun Mar 15 21:55:13 UTC 2026","passed","Sun Mar 15 21:55:16 UTC 2026","","tests.WidgetsSliderTest","tests.WidgetsSliderTest","moveSliderAndCheckValueTest"
"","1948","Test for Radio buttons: select, verify and check that not enabled","","Sun Mar 15 21:55:07 UTC 2026","passed","Sun Mar 15 21:55:09 UTC 2026","","tests.ElementsRadioButtonsTest","tests.ElementsRadioButtonsTest","TestRadioButton"
"","2145","Test for Alerts: check simple alert","","Sun Mar 15 21:55:28 UTC 2026","passed","Sun Mar 15 21:55:30 UTC 2026","","tests.AlertsFrameWindowsAlertsTest","tests.AlertsFrameWindowsAlertsTest","clickButtonToSeeAlert"
"","1998","Test for Modal Dialogs: check new window message","","Sun Mar 15 21:55:31 UTC 2026","passed","Sun Mar 15 21:55:33 UTC 2026","","tests.AlertsFrameWindowsBrowserWindowsTest","tests.AlertsFrameWindowsBrowserWindowsTest","TestNewWindowMessage"
"","2024","Test for Edit fields: enter data, confirm and check result","","Sun Mar 15 21:55:09 UTC 2026","passed","Sun Mar 15 21:55:11 UTC 2026","","tests.ElementsTextBoxTest","tests.ElementsTextBoxTest","testTextBox"
"","6830","Test for Alerts: check timer alert","","Sun Mar 15 21:55:21 UTC 2026","passed","Sun Mar 15 21:55:28 UTC 2026","","tests.AlertsFrameWindowsAlertsTest","tests.AlertsFrameWindowsAlertsTest","clickTimerAlertButton"
"","2022","Test for check box: select, expand and collapse all","","Sun Mar 15 21:55:04 UTC 2026","passed","Sun Mar 15 21:55:06 UTC 2026","","tests.ElementsCheckBoxTest","tests.ElementsCheckBoxTest","TestCheckBox"
"","2021","Test for Frames: check text in a frame","","Sun Mar 15 21:55:37 UTC 2026","passed","Sun Mar 15 21:55:39 UTC 2026","","tests.AlertsFrameWindowsFramesTest","tests.AlertsFrameWindowsFramesTest","TestFrames"
"","2175","Test for Menu: hover on menu, hover on invisible menu and click on it","","Sun Mar 15 21:55:08 UTC 2026","passed","Sun Mar 15 21:55:10 UTC 2026","","tests.WidgetsMenuTest","tests.WidgetsMenuTest","hoverOnMenuAndCheckTest"
"","2223","Test for Alerts: check prompt alert, enter text and check result","","Sun Mar 15 21:55:19 UTC 2026","passed","Sun Mar 15 21:55:21 UTC 2026","","tests.AlertsFrameWindowsAlertsTest","tests.AlertsFrameWindowsAlertsTest","clickPromptAlertButton"
"","1947","Test for Modal Dialogs: check new window","","Sun Mar 15 21:55:35 UTC 2026","passed","Sun Mar 15 21:55:37 UTC 2026","","tests.AlertsFrameWindowsBrowserWindowsTest","tests.AlertsFrameWindowsBrowserWindowsTest","TestNewWindow"
"","2126","Test for Interactions: resize box and check size after the action","","Sun Mar 15 21:55:06 UTC 2026","passed","Sun Mar 15 21:55:08 UTC 2026","","tests.InteractionsResizableTest","tests.InteractionsResizableTest","resizableTest"
"","4865","Test for Interactions: performing drag and drop action using mouse, verify success drop","","Sun Mar 15 21:55:14 UTC 2026","passed","Sun Mar 15 21:55:19 UTC 2026","","tests.InteractionsDroppableTest","tests.InteractionsDroppableTest","testDragAndDropUsingMouse"
"","1968","Test for Modal Dialogs: check new tab","","Sun Mar 15 21:55:33 UTC 2026","passed","Sun Mar 15 21:55:35 UTC 2026","","tests.AlertsFrameWindowsBrowserWindowsTest","tests.AlertsFrameWindowsBrowserWindowsTest","TestModalDialogs"
"","2242","Test for Auto Complete: enter part of color name, wait for dropdown, then select required color and check that right colors are selected","","Sun Mar 15 21:55:10 UTC 2026","passed","Sun Mar 15 21:55:13 UTC 2026","","tests.WidgetsAutoCompleteTest","tests.WidgetsAutoCompleteTest","typeAndSelectMultipleColorTest"
"","5106","Test for Interactions: performing drag and drop action, verify success drop","","Sun Mar 15 21:55:09 UTC 2026","passed","Sun Mar 15 21:55:14 UTC 2026","","tests.InteractionsDroppableTest","tests.InteractionsDroppableTest","testDragAndDrop"
