"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2134","Test for Frames: check text in a frame","","Fri Feb 20 23:08:03 UTC 2026","passed","Fri Feb 20 23:08:05 UTC 2026","","tests.AlertsFrameWindowsFramesTest","tests.AlertsFrameWindowsFramesTest","TestFrames"
"","1940","Test for Alerts: check simple alert","","Fri Feb 20 23:08:01 UTC 2026","passed","Fri Feb 20 23:08:03 UTC 2026","","tests.AlertsFrameWindowsAlertsTest","tests.AlertsFrameWindowsAlertsTest","clickButtonToSeeAlert"
"","2529","Test for check box: select, expand and collapse all","","Fri Feb 20 23:08:33 UTC 2026","passed","Fri Feb 20 23:08:35 UTC 2026","","tests.ElementsCheckBoxTest","tests.ElementsCheckBoxTest","TestCheckBox"
"","2206","Test for Modal Dialogs: check new tab","","Fri Feb 20 23:08:08 UTC 2026","passed","Fri Feb 20 23:08:10 UTC 2026","","tests.AlertsFrameWindowsBrowserWindowsTest","tests.AlertsFrameWindowsBrowserWindowsTest","TestModalDialogs"
"","2072","Test for Alerts: check prompt alert, enter text and check result","","Fri Feb 20 23:07:52 UTC 2026","passed","Fri Feb 20 23:07:54 UTC 2026","","tests.AlertsFrameWindowsAlertsTest","tests.AlertsFrameWindowsAlertsTest","clickPromptAlertButton"
"","2041","Test for Modal Dialogs: check new window message","","Fri Feb 20 23:08:06 UTC 2026","passed","Fri Feb 20 23:08:08 UTC 2026","","tests.AlertsFrameWindowsBrowserWindowsTest","tests.AlertsFrameWindowsBrowserWindowsTest","TestNewWindowMessage"
"","7003","Test for Alerts: check timer alert","","Fri Feb 20 23:07:54 UTC 2026","passed","Fri Feb 20 23:08:01 UTC 2026","","tests.AlertsFrameWindowsAlertsTest","tests.AlertsFrameWindowsAlertsTest","clickTimerAlertButton"
"","2415","Test for Radio buttons: select, verify and check that not enabled","","Fri Feb 20 23:08:36 UTC 2026","passed","Fri Feb 20 23:08:38 UTC 2026","","tests.ElementsRadioButtonsTest","tests.ElementsRadioButtonsTest","TestRadioButton"
"","3608","Test for Slider: set value - move the slider with arrows and check set value","","Fri Feb 20 23:07:48 UTC 2026","passed","Fri Feb 20 23:07:52 UTC 2026","","tests.WidgetsSliderTest","tests.WidgetsSliderTest","moveSliderAndCheckValueTest"
"","2342","Test for Menu: hover on menu, hover on invisible menu and click on it","","Fri Feb 20 23:07:55 UTC 2026","passed","Fri Feb 20 23:07:57 UTC 2026","","tests.WidgetsMenuTest","tests.WidgetsMenuTest","hoverOnMenuAndCheckTest"
"","2415","Test for Auto Complete: enter part of color name, wait for dropdown, then select required color and check that right colors are selected","","Fri Feb 20 23:07:52 UTC 2026","passed","Fri Feb 20 23:07:55 UTC 2026","","tests.WidgetsAutoCompleteTest","tests.WidgetsAutoCompleteTest","typeAndSelectMultipleColorTest"
"","7380","Test for Interactions: resize box and check size after the action","","Fri Feb 20 23:08:01 UTC 2026","failed","Fri Feb 20 23:08:08 UTC 2026","","tests.InteractionsResizableTest","tests.InteractionsResizableTest","resizableTest"
"","7337","Test for Interactions: performing drag and drop action, verify success drop","","Fri Feb 20 23:08:09 UTC 2026","failed","Fri Feb 20 23:08:16 UTC 2026","","tests.InteractionsDroppableTest","tests.InteractionsDroppableTest","testDragAndDrop"
"","2042","Test for Modal Dialogs: check new window","","Fri Feb 20 23:08:10 UTC 2026","passed","Fri Feb 20 23:08:12 UTC 2026","","tests.AlertsFrameWindowsBrowserWindowsTest","tests.AlertsFrameWindowsBrowserWindowsTest","TestNewWindow"
"","2604","Test for Edit fields: enter data, confirm and check result","","Fri Feb 20 23:08:30 UTC 2026","passed","Fri Feb 20 23:08:32 UTC 2026","","tests.ElementsTextBoxTest","tests.ElementsTextBoxTest","testTextBox"
"","5122","Test for Interactions: performing drag and drop action using mouse, verify success drop","","Fri Feb 20 23:08:16 UTC 2026","passed","Fri Feb 20 23:08:21 UTC 2026","","tests.InteractionsDroppableTest","tests.InteractionsDroppableTest","testDragAndDropUsingMouse"
