"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2228","Test for Alerts: check simple alert","","Thu Feb 19 22:49:37 UTC 2026","passed","Thu Feb 19 22:49:39 UTC 2026","","tests.AlertsFrameWindowsAlertsTest","tests.AlertsFrameWindowsAlertsTest","clickButtonToSeeAlert"
"","2156","Test for Edit fields: enter data, confirm and check result","","Thu Feb 19 22:49:01 UTC 2026","passed","Thu Feb 19 22:49:03 UTC 2026","","tests.ElementsTextBoxTest","tests.ElementsTextBoxTest","testTextBox"
"","2711","Test for Alerts: check prompt alert, enter text and check result","","Thu Feb 19 22:49:27 UTC 2026","passed","Thu Feb 19 22:49:30 UTC 2026","","tests.AlertsFrameWindowsAlertsTest","tests.AlertsFrameWindowsAlertsTest","clickPromptAlertButton"
"","7275","Test for Alerts: check timer alert","","Thu Feb 19 22:49:30 UTC 2026","passed","Thu Feb 19 22:49:37 UTC 2026","","tests.AlertsFrameWindowsAlertsTest","tests.AlertsFrameWindowsAlertsTest","clickTimerAlertButton"
"","2461","Test for Auto Complete: enter part of color name, wait for dropdown, then select required color and check that right colors are selected","","Thu Feb 19 22:49:26 UTC 2026","passed","Thu Feb 19 22:49:28 UTC 2026","","tests.WidgetsAutoCompleteTest","tests.WidgetsAutoCompleteTest","typeAndSelectMultipleColorTest"
"","6896","Test for Interactions: performing drag and drop action using mouse, verify success drop","","Thu Feb 19 22:49:25 UTC 2026","failed","Thu Feb 19 22:49:31 UTC 2026","","tests.InteractionsDroppableTest","tests.InteractionsDroppableTest","testDragAndDropUsingMouse"
"","2431","Test for Modal Dialogs: check new window message","","Thu Feb 19 22:49:43 UTC 2026","passed","Thu Feb 19 22:49:45 UTC 2026","","tests.AlertsFrameWindowsBrowserWindowsTest","tests.AlertsFrameWindowsBrowserWindowsTest","TestNewWindowMessage"
"","4063","Test for Slider: set value - move the slider with arrows and check set value","","Thu Feb 19 22:49:21 UTC 2026","passed","Thu Feb 19 22:49:25 UTC 2026","","tests.WidgetsSliderTest","tests.WidgetsSliderTest","moveSliderAndCheckValueTest"
"","6975","Test for Interactions: performing drag and drop action, verify success drop","","Thu Feb 19 22:49:18 UTC 2026","failed","Thu Feb 19 22:49:25 UTC 2026","","tests.InteractionsDroppableTest","tests.InteractionsDroppableTest","testDragAndDrop"
"","2519","Test for Modal Dialogs: check new tab","","Thu Feb 19 22:49:45 UTC 2026","passed","Thu Feb 19 22:49:47 UTC 2026","","tests.AlertsFrameWindowsBrowserWindowsTest","tests.AlertsFrameWindowsBrowserWindowsTest","TestModalDialogs"
"","31615","Test for check box: select, expand and collapse all","","Thu Feb 19 22:49:03 UTC 2026","broken","Thu Feb 19 22:49:35 UTC 2026","","tests.ElementsCheckBoxTest","tests.ElementsCheckBoxTest","TestCheckBox"
"","2407","Test for Menu: hover on menu, hover on invisible menu and click on it","","Thu Feb 19 22:49:29 UTC 2026","passed","Thu Feb 19 22:49:31 UTC 2026","","tests.WidgetsMenuTest","tests.WidgetsMenuTest","hoverOnMenuAndCheckTest"
"","2406","Test for Modal Dialogs: check new window","","Thu Feb 19 22:49:47 UTC 2026","passed","Thu Feb 19 22:49:50 UTC 2026","","tests.AlertsFrameWindowsBrowserWindowsTest","tests.AlertsFrameWindowsBrowserWindowsTest","TestNewWindow"
"","1820","Test for Radio buttons: select, verify and check that not enabled","","Thu Feb 19 22:49:35 UTC 2026","passed","Thu Feb 19 22:49:37 UTC 2026","","tests.ElementsRadioButtonsTest","tests.ElementsRadioButtonsTest","TestRadioButton"
"","2508","Test for Frames: check text in a frame","","Thu Feb 19 22:49:40 UTC 2026","passed","Thu Feb 19 22:49:42 UTC 2026","","tests.AlertsFrameWindowsFramesTest","tests.AlertsFrameWindowsFramesTest","TestFrames"
"","2344","Test for Interactions: resize box and check size after the action","","Thu Feb 19 22:49:15 UTC 2026","passed","Thu Feb 19 22:49:17 UTC 2026","","tests.InteractionsResizableTest","tests.InteractionsResizableTest","resizableTest"
