"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1667","Test for Frames: check text in a frame","","Thu Feb 19 21:55:09 UTC 2026","passed","Thu Feb 19 21:55:11 UTC 2026","","tests.AlertsFrameWindowsFramesTest","tests.AlertsFrameWindowsFramesTest","TestFrames"
"","6723","Test for Alerts: check timer alert","","Thu Feb 19 21:55:00 UTC 2026","passed","Thu Feb 19 21:55:07 UTC 2026","","tests.AlertsFrameWindowsAlertsTest","tests.AlertsFrameWindowsAlertsTest","clickTimerAlertButton"
"","2096","Test for Menu: hover on menu, hover on invisible menu and click on it","","Thu Feb 19 21:54:49 UTC 2026","passed","Thu Feb 19 21:54:51 UTC 2026","","tests.WidgetsMenuTest","tests.WidgetsMenuTest","hoverOnMenuAndCheckTest"
"","2213","Test for Auto Complete: enter part of color name, wait for dropdown, then select required color and check that right colors are selected","","Thu Feb 19 21:54:46 UTC 2026","passed","Thu Feb 19 21:54:49 UTC 2026","","tests.WidgetsAutoCompleteTest","tests.WidgetsAutoCompleteTest","typeAndSelectMultipleColorTest"
"","31920","Test for check box: select, expand and collapse all","","Thu Feb 19 21:54:32 UTC 2026","broken","Thu Feb 19 21:55:04 UTC 2026","","tests.ElementsCheckBoxTest","tests.ElementsCheckBoxTest","TestCheckBox"
"","1688","Test for Modal Dialogs: check new window","","Thu Feb 19 21:55:15 UTC 2026","passed","Thu Feb 19 21:55:17 UTC 2026","","tests.AlertsFrameWindowsBrowserWindowsTest","tests.AlertsFrameWindowsBrowserWindowsTest","TestNewWindow"
"","1796","Test for Modal Dialogs: check new window message","","Thu Feb 19 21:55:11 UTC 2026","passed","Thu Feb 19 21:55:13 UTC 2026","","tests.AlertsFrameWindowsBrowserWindowsTest","tests.AlertsFrameWindowsBrowserWindowsTest","TestNewWindowMessage"
"","2156","Test for Radio buttons: select, verify and check that not enabled","","Thu Feb 19 21:55:05 UTC 2026","passed","Thu Feb 19 21:55:07 UTC 2026","","tests.ElementsRadioButtonsTest","tests.ElementsRadioButtonsTest","TestRadioButton"
"","7422","Test for Interactions: performing drag and drop action using mouse, verify success drop","","Thu Feb 19 21:54:55 UTC 2026","failed","Thu Feb 19 21:55:03 UTC 2026","","tests.InteractionsDroppableTest","tests.InteractionsDroppableTest","testDragAndDropUsingMouse"
"","3539","Test for Slider: set value - move the slider with arrows and check set value","","Thu Feb 19 21:54:42 UTC 2026","passed","Thu Feb 19 21:54:46 UTC 2026","","tests.WidgetsSliderTest","tests.WidgetsSliderTest","moveSliderAndCheckValueTest"
"","1759","Test for Modal Dialogs: check new tab","","Thu Feb 19 21:55:13 UTC 2026","passed","Thu Feb 19 21:55:15 UTC 2026","","tests.AlertsFrameWindowsBrowserWindowsTest","tests.AlertsFrameWindowsBrowserWindowsTest","TestModalDialogs"
"","2244","Test for Edit fields: enter data, confirm and check result","","Thu Feb 19 21:55:07 UTC 2026","passed","Thu Feb 19 21:55:10 UTC 2026","","tests.ElementsTextBoxTest","tests.ElementsTextBoxTest","testTextBox"
"","1680","Test for Alerts: check simple alert","","Thu Feb 19 21:55:07 UTC 2026","passed","Thu Feb 19 21:55:09 UTC 2026","","tests.AlertsFrameWindowsAlertsTest","tests.AlertsFrameWindowsAlertsTest","clickButtonToSeeAlert"
"","7419","Test for Interactions: performing drag and drop action, verify success drop","","Thu Feb 19 21:54:48 UTC 2026","failed","Thu Feb 19 21:54:55 UTC 2026","","tests.InteractionsDroppableTest","tests.InteractionsDroppableTest","testDragAndDrop"
"","2237","Test for Alerts: check prompt alert, enter text and check result","","Thu Feb 19 21:54:58 UTC 2026","passed","Thu Feb 19 21:55:00 UTC 2026","","tests.AlertsFrameWindowsAlertsTest","tests.AlertsFrameWindowsAlertsTest","clickPromptAlertButton"
"","2827","Test for Interactions: resize box and check size after the action","","Thu Feb 19 21:54:44 UTC 2026","passed","Thu Feb 19 21:54:47 UTC 2026","","tests.InteractionsResizableTest","tests.InteractionsResizableTest","resizableTest"
