"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6873","Test for Alerts: check timer alert","","Fri Feb 20 22:37:25 UTC 2026","passed","Fri Feb 20 22:37:32 UTC 2026","","tests.AlertsFrameWindowsAlertsTest","tests.AlertsFrameWindowsAlertsTest","clickTimerAlertButton"
"","8161","Test for Interactions: performing drag and drop action using mouse, verify success drop","","Fri Feb 20 22:38:47 UTC 2026","passed","Fri Feb 20 22:38:55 UTC 2026","","tests.InteractionsDroppableTest","tests.InteractionsDroppableTest","testDragAndDropUsingMouse"
"","7304","Test for Interactions: performing drag and drop action, verify success drop","","Fri Feb 20 22:38:40 UTC 2026","failed","Fri Feb 20 22:38:47 UTC 2026","","tests.InteractionsDroppableTest","tests.InteractionsDroppableTest","testDragAndDrop"
"","2199","Test for Radio buttons: select, verify and check that not enabled","","Fri Feb 20 22:56:46 UTC 2026","passed","Fri Feb 20 22:56:48 UTC 2026","","tests.ElementsRadioButtonsTest","tests.ElementsRadioButtonsTest","TestRadioButton"
"","1962","Test for Frames: check text in a frame","","Fri Feb 20 22:37:34 UTC 2026","passed","Fri Feb 20 22:37:36 UTC 2026","","tests.AlertsFrameWindowsFramesTest","tests.AlertsFrameWindowsFramesTest","TestFrames"
"","2390","Test for Edit fields: enter data, confirm and check result","","Fri Feb 20 22:56:41 UTC 2026","passed","Fri Feb 20 22:56:43 UTC 2026","","tests.ElementsTextBoxTest","tests.ElementsTextBoxTest","testTextBox"
"","2301","Test for Interactions: resize box and check size after the action","","Fri Feb 20 22:38:37 UTC 2026","passed","Fri Feb 20 22:38:39 UTC 2026","","tests.InteractionsResizableTest","tests.InteractionsResizableTest","resizableTest"
"","2312","Test for check box: select, expand and collapse all","","Fri Feb 20 22:56:43 UTC 2026","passed","Fri Feb 20 22:56:46 UTC 2026","","tests.ElementsCheckBoxTest","tests.ElementsCheckBoxTest","TestCheckBox"
"","1965","Test for Menu: hover on menu, hover on invisible menu and click on it","","Fri Feb 20 22:37:17 UTC 2026","passed","Fri Feb 20 22:37:19 UTC 2026","","tests.WidgetsMenuTest","tests.WidgetsMenuTest","hoverOnMenuAndCheckTest"
"","1913","Test for Modal Dialogs: check new window message","","Fri Feb 20 22:37:37 UTC 2026","passed","Fri Feb 20 22:37:39 UTC 2026","","tests.AlertsFrameWindowsBrowserWindowsTest","tests.AlertsFrameWindowsBrowserWindowsTest","TestNewWindowMessage"
"","1904","Test for Modal Dialogs: check new window","","Fri Feb 20 22:37:41 UTC 2026","passed","Fri Feb 20 22:37:43 UTC 2026","","tests.AlertsFrameWindowsBrowserWindowsTest","tests.AlertsFrameWindowsBrowserWindowsTest","TestNewWindow"
"","1966","Test for Modal Dialogs: check new tab","","Fri Feb 20 22:37:39 UTC 2026","passed","Fri Feb 20 22:37:41 UTC 2026","","tests.AlertsFrameWindowsBrowserWindowsTest","tests.AlertsFrameWindowsBrowserWindowsTest","TestModalDialogs"
"","2045","Test for Alerts: check prompt alert, enter text and check result","","Fri Feb 20 22:37:23 UTC 2026","passed","Fri Feb 20 22:37:25 UTC 2026","","tests.AlertsFrameWindowsAlertsTest","tests.AlertsFrameWindowsAlertsTest","clickPromptAlertButton"
"","3263","Test for Slider: set value - move the slider with arrows and check set value","","Fri Feb 20 22:37:11 UTC 2026","passed","Fri Feb 20 22:37:14 UTC 2026","","tests.WidgetsSliderTest","tests.WidgetsSliderTest","moveSliderAndCheckValueTest"
"","1831","Test for Alerts: check simple alert","","Fri Feb 20 22:37:32 UTC 2026","passed","Fri Feb 20 22:37:34 UTC 2026","","tests.AlertsFrameWindowsAlertsTest","tests.AlertsFrameWindowsAlertsTest","clickButtonToSeeAlert"
"","2054","Test for Auto Complete: enter part of color name, wait for dropdown, then select required color and check that right colors are selected","","Fri Feb 20 22:37:15 UTC 2026","passed","Fri Feb 20 22:37:17 UTC 2026","","tests.WidgetsAutoCompleteTest","tests.WidgetsAutoCompleteTest","typeAndSelectMultipleColorTest"
