"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1668","Test for Alerts: check simple alert","","Fri Feb 20 22:05:11 UTC 2026","passed","Fri Feb 20 22:05:12 UTC 2026","","tests.AlertsFrameWindowsAlertsTest","tests.AlertsFrameWindowsAlertsTest","clickButtonToSeeAlert"
"","6767","Test for Alerts: check timer alert","","Fri Feb 20 22:05:04 UTC 2026","passed","Fri Feb 20 22:05:11 UTC 2026","","tests.AlertsFrameWindowsAlertsTest","tests.AlertsFrameWindowsAlertsTest","clickTimerAlertButton"
"","4065","Test for Slider: set value - move the slider with arrows and check set value","","Fri Feb 20 22:05:19 UTC 2026","passed","Fri Feb 20 22:05:23 UTC 2026","","tests.WidgetsSliderTest","tests.WidgetsSliderTest","moveSliderAndCheckValueTest"
"","2530","Test for Menu: hover on menu, hover on invisible menu and click on it","","Fri Feb 20 22:05:26 UTC 2026","passed","Fri Feb 20 22:05:29 UTC 2026","","tests.WidgetsMenuTest","tests.WidgetsMenuTest","hoverOnMenuAndCheckTest"
"","7397","Test for Interactions: performing drag and drop action, verify success drop","","Fri Feb 20 22:05:27 UTC 2026","failed","Fri Feb 20 22:05:35 UTC 2026","","tests.InteractionsDroppableTest","tests.InteractionsDroppableTest","testDragAndDrop"
"","2500","Test for Interactions: resize box and check size after the action","","Fri Feb 20 22:05:24 UTC 2026","passed","Fri Feb 20 22:05:27 UTC 2026","","tests.InteractionsResizableTest","tests.InteractionsResizableTest","resizableTest"
"","7319","Test for Interactions: performing drag and drop action using mouse, verify success drop","","Fri Feb 20 22:05:35 UTC 2026","failed","Fri Feb 20 22:05:42 UTC 2026","","tests.InteractionsDroppableTest","tests.InteractionsDroppableTest","testDragAndDropUsingMouse"
"","1816","Test for Modal Dialogs: check new tab","","Fri Feb 20 22:05:17 UTC 2026","passed","Fri Feb 20 22:05:19 UTC 2026","","tests.AlertsFrameWindowsBrowserWindowsTest","tests.AlertsFrameWindowsBrowserWindowsTest","TestModalDialogs"
"","1779","Test for Modal Dialogs: check new window message","","Fri Feb 20 22:05:15 UTC 2026","passed","Fri Feb 20 22:05:17 UTC 2026","","tests.AlertsFrameWindowsBrowserWindowsTest","tests.AlertsFrameWindowsBrowserWindowsTest","TestNewWindowMessage"
"","2168","Test for Radio buttons: select, verify and check that not enabled","","Fri Feb 20 22:05:28 UTC 2026","passed","Fri Feb 20 22:05:30 UTC 2026","","tests.ElementsRadioButtonsTest","tests.ElementsRadioButtonsTest","TestRadioButton"
"","1975","Test for Alerts: check prompt alert, enter text and check result","","Fri Feb 20 22:05:02 UTC 2026","passed","Fri Feb 20 22:05:04 UTC 2026","","tests.AlertsFrameWindowsAlertsTest","tests.AlertsFrameWindowsAlertsTest","clickPromptAlertButton"
"","2723","Test for Auto Complete: enter part of color name, wait for dropdown, then select required color and check that right colors are selected","","Fri Feb 20 22:05:23 UTC 2026","passed","Fri Feb 20 22:05:26 UTC 2026","","tests.WidgetsAutoCompleteTest","tests.WidgetsAutoCompleteTest","typeAndSelectMultipleColorTest"
"","2313","Test for Edit fields: enter data, confirm and check result","","Fri Feb 20 22:05:23 UTC 2026","passed","Fri Feb 20 22:05:25 UTC 2026","","tests.ElementsTextBoxTest","tests.ElementsTextBoxTest","testTextBox"
"","1787","Test for Modal Dialogs: check new window","","Fri Feb 20 22:05:19 UTC 2026","passed","Fri Feb 20 22:05:20 UTC 2026","","tests.AlertsFrameWindowsBrowserWindowsTest","tests.AlertsFrameWindowsBrowserWindowsTest","TestNewWindow"
"","1773","Test for Frames: check text in a frame","","Fri Feb 20 22:05:13 UTC 2026","passed","Fri Feb 20 22:05:15 UTC 2026","","tests.AlertsFrameWindowsFramesTest","tests.AlertsFrameWindowsFramesTest","TestFrames"
"","2188","Test for check box: select, expand and collapse all","","Fri Feb 20 22:05:25 UTC 2026","passed","Fri Feb 20 22:05:28 UTC 2026","","tests.ElementsCheckBoxTest","tests.ElementsCheckBoxTest","TestCheckBox"
